Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Atlantic spanish mackerel,Scomberomorus maculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Spanish_mack_photo3_exp.jpg/120px-Spanish_mack_photo3_exp.jpg,No,Yes
Atlantic stingray,Hypanus sabinus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Dasyatis_sabina_florida.jpg/120px-Dasyatis_sabina_florida.jpg,Yes,Yes
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Atlantic_sturgeon.jpg/120px-Atlantic_sturgeon.jpg,Yes,Yes
Atlantic tarpon,Megalops atlanticus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tarpon3.JPG/120px-Tarpon3.JPG,Yes,Yes
Atlantic thread herring,Opisthonema oglinum,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Opisthonema_oglinum.jpg/120px-Opisthonema_oglinum.jpg,No,Yes
Atlantic torpedo,Tetronarce nobiliana,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Atlantic_torpedo_%28_Torpedo_nobiliana_%29.jpg/120px-Atlantic_torpedo_%28_Torpedo_nobiliana_%29.jpg,No,Yes
Atlantic tripletail,Lobotes surinamensis,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Lobotes_surinamensis.jpg/120px-Lobotes_surinamensis.jpg,No,Yes
Balloonfish,Diodon holocanthus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Diodon_holocanthus_-_pone.0010676.g200.png/120px-Diodon_holocanthus_-_pone.0010676.g200.png,No,Yes
Ballyhoo,Hemiramphus brasiliensis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Halfbeak_Cuba.JPG/120px-Halfbeak_Cuba.JPG,No,Yes
Banded butterflyfish,Chaetodon striatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Chaetodon_striatus_Brasil.jpg/120px-Chaetodon_striatus_Brasil.jpg,No,Yes
Banded cichlid,Heros severus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Heros_severus.JPG/120px-Heros_severus.JPG,Yes,No
